accuracy,loss,val_accuracy,val_loss,learning_rate
0.791785717010498,0.6131970286369324,0.7475000023841858,0.6969776749610901,0.0010000000474974513
0.8517857193946838,0.3977562189102173,0.8606250286102295,0.4334130883216858,0.0010000000474974513
0.8716071248054504,0.3475605249404907,0.84375,0.5326557159423828,0.0010000000474974513
0.8846428394317627,0.31201979517936707,0.8556249737739563,0.4243708848953247,0.0010000000474974513
0.8949999809265137,0.28566640615463257,0.8731250166893005,0.40019115805625916,0.0010000000474974513
0.8898214101791382,0.2841651737689972,0.8525000214576721,0.5097717046737671,0.0010000000474974513
0.9007142782211304,0.26275476813316345,0.8687499761581421,0.4412922263145447,0.0010000000474974513
0.9039285778999329,0.2509532868862152,0.8737499713897705,0.3868258595466614,0.0010000000474974513
0.8969643115997314,0.2654959261417389,0.8512499928474426,0.46093490719795227,0.0010000000474974513
0.8999999761581421,0.25428345799446106,0.859375,0.4245109558105469,0.0010000000474974513
0.9121428728103638,0.23664480447769165,0.8412500023841858,0.4537805914878845,0.0010000000474974513
0.916785717010498,0.21743890643119812,0.8962500095367432,0.34335216879844666,0.00020000000949949026
0.9241071343421936,0.20475991070270538,0.8849999904632568,0.36723124980926514,0.00020000000949949026
0.9255357384681702,0.19389846920967102,0.8987500071525574,0.3433936834335327,0.00020000000949949026
0.9257143139839172,0.18740025162696838,0.893750011920929,0.36103659868240356,0.00020000000949949026
0.9260714054107666,0.18341736495494843,0.8974999785423279,0.34816664457321167,4.0000002627493814e-05
0.9332143068313599,0.18067686259746552,0.9006249904632568,0.34241390228271484,4.0000002627493814e-05
0.931071400642395,0.18235540390014648,0.8981249928474426,0.35076412558555603,4.0000002627493814e-05
0.9351785778999329,0.17636390030384064,0.8962500095367432,0.3504866659641266,4.0000002627493814e-05
0.9344642758369446,0.17271558940410614,0.8918750286102295,0.35051387548446655,4.0000002627493814e-05
0.9373214244842529,0.16779160499572754,0.8943750262260437,0.34923797845840454,8.000000889296643e-06
0.9358928799629211,0.16788102686405182,0.8974999785423279,0.34781861305236816,8.000000889296643e-06
0.9357143044471741,0.16637445986270905,0.8968750238418579,0.34900376200675964,8.000000889296643e-06
0.9342857003211975,0.17649593949317932,0.8968750238418579,0.35187026858329773,1.6000001323845936e-06
0.9376785755157471,0.16401657462120056,0.8974999785423279,0.3488433361053467,1.6000001323845936e-06
0.9371428489685059,0.17330752313137054,0.8962500095367432,0.34881895780563354,1.6000001323845936e-06
0.9344642758369446,0.1767856776714325,0.8962500095367432,0.3516879677772522,3.200000264769187e-07
0.933571457862854,0.1793174147605896,0.8962500095367432,0.3479127585887909,3.200000264769187e-07
0.9367856979370117,0.16795121133327484,0.8962500095367432,0.34827256202697754,3.200000264769187e-07
0.9358928799629211,0.17274026572704315,0.8962500095367432,0.34870684146881104,1.0000000116860974e-07
0.8480356931686401,0.4519764184951782,0.8931249976158142,0.35410767793655396,9.999999747378752e-05
0.9260714054107666,0.20797155797481537,0.9043750166893005,0.3647010326385498,9.999999747378752e-05
0.9496428370475769,0.13778823614120483,0.9193750023841858,0.36188003420829773,9.999999747378752e-05
0.9626785516738892,0.10515540093183517,0.934374988079071,0.3453288972377777,9.999999747378752e-05
0.9694643020629883,0.08779534697532654,0.9449999928474426,0.3002857267856598,9.999999747378752e-05
0.9741071462631226,0.06301414221525192,0.940625011920929,0.33864524960517883,9.999999747378752e-05
0.9776785969734192,0.06350535899400711,0.9481250047683716,0.32436633110046387,9.999999747378752e-05
0.9857142567634583,0.04452082887291908,0.953125,0.2895359992980957,9.999999747378752e-05
0.9878571629524231,0.037442099303007126,0.953125,0.28768834471702576,9.999999747378752e-05
0.9869642853736877,0.03638391196727753,0.9506250023841858,0.34943920373916626,9.999999747378752e-05
